artistName,artistID,artistPop,artistGenre
Taylor Swift,06HL4z0CvFAxyc27GXpf02,100.0,pop
Bad Bunny,4q3ewBCX7sLwd24euuV69X,99.0,"reggaeton, trap latino, urbano latino"
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,98.0,"canadian contemporary r&b, canadian pop, pop"
Drake,3TVXtAsR1Inumwj472S9r4,97.0,"canadian hip hop, canadian pop, hip hop, rap, toronto rap"
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,94.0,contemporary country
MØ,4oUHIQIBe0LHzYfvXNW4QM,94.0,contemporary country
21 Savage,1URnnhqYAYcrqrcwql10ft,93.0,"atl hip hop, rap"
Eminem,7dGJo4pcD2V6oG8kP0tJRR,93.0,"detroit hip hop, hip hop, rap"
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,93.0,"barbadian pop, pop, urban contemporary"
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,93.0,pop
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,92.0,"canadian pop, pop"
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,92.0,"chicago rap, rap"
BTS,3Nrfpe0tUJi4K4DXYWgMUX,92.0,"k-pop, k-pop boy group"
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,92.0,"pop, uk pop"
Future,1RyvyyTE3xzB2ZywiAwp0i,92.0,"atl hip hop, rap, southern hip hop, trap"
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,91.0,"rap, slap house"
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,91.0,"art pop, pop"
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,91.0,rap
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,91.0,"conscious hip hop, hip hop, rap, west coast rap"
Harry Styles,6KImCVD70vtIoJWnq6nGn3,91.0,pop
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,90.0,"puerto rican pop, reggaeton, trap latino, urbano latino"
Lil Baby,5f7VJjfbwm532GiveGC0ZK,90.0,"atl hip hop, atl trap, rap, trap"
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,90.0,"art pop, electropop, pop"
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,90.0,"permanent wave, pop"
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,90.0,"modern rock, rock"
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,90.0,"big room, dance pop, edm, pop, pop dance"
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,90.0,"dance pop, pop"
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,89.0,"conscious hip hop, hip hop, north carolina hip hop, rap"
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,89.0,"melodic rap, philly rap, rap, trap"
