,artistName,artistID,songName,release_date,songURI,songLocation,albumLength,songDuration,songExplicit,songPopularity,summer
0,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,Winnebago (feat. Quinn XCII & Daniel Wilson),2018-04-20,spotify:track:2FVm4ADgYRIQWlpYKDPdl9,1,1,179936,True,49,Summer 2018
1,Quinn XCII,3ApUX1o6oSz321MMECyIYd,Winnebago (feat. Quinn XCII & Daniel Wilson),2018-04-20,spotify:track:2FVm4ADgYRIQWlpYKDPdl9,1,1,179936,True,49,Summer 2018
2,Daniel Wilson,44eNlYXYkIGob3NU82tgLq,Winnebago (feat. Quinn XCII & Daniel Wilson),2018-04-20,spotify:track:2FVm4ADgYRIQWlpYKDPdl9,1,1,179936,True,49,Summer 2018
3,Watsky,3mJ9GlkLzj8Ka7Z7EQaCMi,Sloppy Seconds,2013-01-01,spotify:track:0Vwfd6fxFrL3kCnZSJ9vid,11,17,245933,True,0,Summer 2018
4,The National,2cCUtGK9sDU2EoElnk0GNB,The System Only Dreams in Total Darkness,2017-09-08,spotify:track:1HAzsv7VCvbgqrpenTRWj1,4,12,236746,False,0,Summer 2018
5,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Silence,2017-08-11,spotify:track:7vGuf3Y35N4wmASOKLUVVU,1,1,180822,False,83,Summer 2018
6,Khalid,6LuN9FCkKOj5PcnpouEgny,Silence,2017-08-11,spotify:track:7vGuf3Y35N4wmASOKLUVVU,1,1,180822,False,83,Summer 2018
7,Khalid,6LuN9FCkKOj5PcnpouEgny,Young Dumb & Broke,2017-04-27,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,2,15,202546,False,82,Summer 2018
8,Khalid,6LuN9FCkKOj5PcnpouEgny,Location,2017-04-27,spotify:track:152lZdxL1OR0ZMW6KquMif,3,15,219080,False,77,Summer 2018
9,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,Masseduction,2017-10-13,spotify:track:4L7kaptgY6py2G3nRW9BVQ,3,13,197426,False,46,Summer 2018
10,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,Los Ageless,2017-10-13,spotify:track:2qTy3hGSbxoSenKmlKGHFw,5,13,281346,False,54,Summer 2018
11,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,New York,2017-10-13,spotify:track:5IXTT9RvcVupmzLTFqIInj,8,13,154960,True,51,Summer 2018
12,Sylvan Esso,39vA9YljbnOApXKniLWBZv,Die Young,2017-04-28,spotify:track:1BRwuvjhkgezmv1gcI6lT6,3,10,210613,False,55,Summer 2018
