artistID,artistName,artistPopularity,artistFollowers,artistGenre,date
1URnnhqYAYcrqrcwql10ft,21 Savage,92.0,17641715.0,"atl hip hop, hip hop, rap",2024-03-19
2RTUTCvo6onsAnheUk3aL9,3 Doors Down,70.0,4252580.0,"alternative metal, nu metal, post-grunge, rock",2024-03-19
41Q0HrwWBtuUkJc7C1Rp6K,311,62.0,1012731.0,"alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, rap rock, reggae fusion",2024-03-19
4NiJW4q9ichVqL1aUsgGAN,A Day To Remember,68.0,2275446.0,"alternative metal, metalcore, neon pop punk, pop emo, pop punk, screamo",2024-03-19
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,66.0,2060491.0,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",2024-03-19
3TaUSUXn41GixL7zbvrIDt,A-Trak,61.0,128625.0,"canadian electronic, edm, electro house, electronic trap, fidget house, turntablism",2024-03-19
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,69.0,3709225.0,"hip hop, pop rap, rap, southern hip hop, trap",2024-03-19
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,82.0,13598420.0,"east coast hip hop, hip hop, rap, trap",2024-03-19
10gzBoINW3cLJfZUka8Zoe,Above & Beyond,61.0,783540.0,"edm, progressive house, progressive trance, trance, uplifting trance",2024-03-19
7BMccF0hQFBpP6417k1OtQ,Action Bronson,62.0,800449.0,"alternative hip hop, east coast hip hop, hip hop, nyc rap, queens hip hop",2024-03-19
1btv9qmIpbp7q1ixCYNdHu,Adam Beyer,50.0,312729.0,"dark techno, minimal techno, raw techno, schranz, swedish electronic, swedish techno, techno",2024-03-19
5CdJjUi9f0cVgo9nFuJrFa,Adventure Club,53.0,301344.0,"brostep, canadian electronic, complextro, edm, electro house, filthstep, pop dance",2024-03-19
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,75.0,13962393.0,"album rock, classic rock, hard rock, rock",2024-03-19
2fSaE6BXtQy0x7R7v9IOmZ,Aesop Rock,56.0,441863.0,"abstract hip hop, alternative hip hop, conscious hip hop",2024-03-19
4D75GcNG95ebPtNvoNVXhz,AFROJACK,72.0,3866285.0,"big room, dance pop, dutch house, edm, electro house, pop dance",2024-03-19
4xXCRXOfQKQ2gjWxNhNzYW,Air Supply,69.0,4183708.0,soft rock,2024-03-19
6urzdpGY5yUimWZsgJUoTb,Airbourne,57.0,799186.0,hard rock,2024-03-19
6s22t5Y3prQHyaHWUN1R1C,AJR,73.0,3243911.0,pov: indie,2024-03-19
2sooU8QkzRKYA84prJPtS4,Akhil Talreja,14.0,5795.0,,2024-03-19
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,60.0,1607437.0,"alabama indie, modern blues rock, rock",2024-03-19
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,80.0,38217045.0,electro house,2024-03-19
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,72.0,11727880.0,"canadian contemporary r&b, canadian pop, pop",2024-03-19
4AVFqumd2ogHFlRbKIjp1t,Alesso,73.0,3855781.0,"dance pop, edm, pop, pop dance, progressive electro house",2024-03-19
7vb7VLDqpLTlAy1ctTMR5d,Alex Gaudino,59.0,121847.0,"disco house, vocal house",2024-03-19
3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,62.0,3617791.0,"album rock, classic rock, detroit rock, glam metal, glam rock, hard rock, metal, protopunk, rock",2024-03-19
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,71.0,4914049.0,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",2024-03-19
11gWrKZMBsGQWmobv3oNfW,Alison Wonderland,51.0,479201.0,"aussietronica, edm, electra, electronic trap, escape room, indietronica",2024-03-19
0NGAZxHanS9e0iNHpR8f2W,Alok,80.0,11321126.0,"electro house, pop nacional, sertanejo universitario, slap house",2024-03-19
3XHO7cRUPCLOr6jwp8vsx5,alt-J,70.0,3228213.0,"indie rock, indietronica, modern alternative rock, modern rock, rock",2024-03-19
2VAnyOxzJuSAj7XIuEOT38,AlunaGeorge,61.0,432090.0,"electropop, escape room, house, uk dance",2024-03-19
34PyHmCLNSwQGSH2AahyVN,Alvin Risk,41.0,24664.0,"electro house, moombahton",2024-03-19
2hL1EouqXLtBEB6JKnPF0h,Aly & Fila,46.0,167366.0,"progressive house, progressive trance, trance, uplifting trance",2024-03-19
7htQnykNfk2Bu39bSw7owz,ame,64.0,1962.0,,2024-03-19
5Ho1vKl1Uz8bJlk4vbmvmf,Amelie Lens,52.0,582366.0,"acid techno, belgian techno, dark techno, electra",2024-03-19
