artistID,artistName,artistPopularity,artistFollowers,artistGenre,date,following
1URnnhqYAYcrqrcwql10ft,21 Savage,90.0,13877300.0,"atl hip hop, hip hop, rap, trap",2023-06-11,True
2RTUTCvo6onsAnheUk3aL9,3 Doors Down,70.0,4098770.0,"alternative metal, nu metal, post-grunge, rock",2023-06-11,False
41Q0HrwWBtuUkJc7C1Rp6K,311,63.0,954258.0,"alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, rap rock, reggae fusion",2023-06-11,False
4NiJW4q9ichVqL1aUsgGAN,A Day To Remember,69.0,2226959.0,"alternative metal, metalcore, pop punk, screamo",2023-06-11,False
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,67.0,1906386.0,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",2023-06-11,False
3TaUSUXn41GixL7zbvrIDt,A-Trak,61.0,128029.0,"canadian electronic, edm, electro house, electronic trap, turntablism",2023-06-11,True
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,71.0,3583080.0,"hip hop, pop rap, rap, southern hip hop, trap",2023-06-11,True
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,82.0,12327261.0,"east coast hip hop, hip hop, rap, trap",2023-06-11,True
10gzBoINW3cLJfZUka8Zoe,Above & Beyond,62.0,762310.0,"edm, pop dance, progressive house, progressive trance, trance, uplifting trance",2023-06-11,False
7BMccF0hQFBpP6417k1OtQ,Action Bronson,62.0,766714.0,"alternative hip hop, east coast hip hop, hip hop, nyc rap, queens hip hop",2023-06-11,False
1btv9qmIpbp7q1ixCYNdHu,Adam Beyer,49.0,296997.0,"dark techno, minimal techno, raw techno, schranz, swedish electronic, swedish techno, techno",2023-06-11,False
5CdJjUi9f0cVgo9nFuJrFa,Adventure Club,53.0,299969.0,"brostep, canadian electronic, complextro, edm, electro house, filthstep, pop dance",2023-06-11,False
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,76.0,13512955.0,"album rock, classic rock, hard rock, rock",2023-06-11,False
2fSaE6BXtQy0x7R7v9IOmZ,Aesop Rock,56.0,417792.0,"abstract hip hop, alternative hip hop, conscious hip hop",2023-06-11,False
4D75GcNG95ebPtNvoNVXhz,AFROJACK,72.0,3998260.0,"big room, dance pop, dutch house, edm, electro house, pop dance, progressive electro house",2023-06-11,True
4xXCRXOfQKQ2gjWxNhNzYW,Air Supply,68.0,3847064.0,soft rock,2023-06-11,False
6urzdpGY5yUimWZsgJUoTb,Airbourne,60.0,766575.0,hard rock,2023-06-11,False
6s22t5Y3prQHyaHWUN1R1C,AJR,73.0,2928267.0,pov: indie,2023-06-11,True
2sooU8QkzRKYA84prJPtS4,Akhil Talreja,14.0,4375.0,,2023-06-11,False
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,60.0,1590375.0,"alabama indie, modern blues rock, rock",2023-06-11,False
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,81.0,38205238.0,electro house,2023-06-11,True
