artistID,artistName,artistPopularity,artistFollowers,artistGenre,date
1URnnhqYAYcrqrcwql10ft,21 Savage,87,18520392,"atl hip hop, hip hop, rap",2024-05-21
2RTUTCvo6onsAnheUk3aL9,3 Doors Down,67,4321798,"alternative metal, nu metal, post-grunge, rock",2024-05-21
41Q0HrwWBtuUkJc7C1Rp6K,311,60,1034429,"alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, rap rock, reggae fusion",2024-05-21
4NiJW4q9ichVqL1aUsgGAN,A Day To Remember,66,2306545,"alternative metal, metalcore, neon pop punk, pop punk, screamo",2024-05-21
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,64,2101813,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",2024-05-21
3TaUSUXn41GixL7zbvrIDt,A-Trak,58,129956,"canadian electronic, edm, electro house, electronic trap, fidget house, house, turntablism",2024-05-21
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,66,3746218,"hip hop, pop rap, rap, southern hip hop, trap",2024-05-21
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,81,14066029,"east coast hip hop, hip hop, rap",2024-05-21
10gzBoINW3cLJfZUka8Zoe,Above & Beyond,58,793984,"edm, progressive house, progressive trance, trance, uplifting trance",2024-05-21
7BMccF0hQFBpP6417k1OtQ,Action Bronson,60,809787,"alternative hip hop, east coast hip hop, hip hop, nyc rap, queens hip hop",2024-05-21
1btv9qmIpbp7q1ixCYNdHu,Adam Beyer,51,319460,"dark techno, minimal techno, raw techno, schranz, swedish electronic, swedish techno, techno",2024-05-21
5CdJjUi9f0cVgo9nFuJrFa,Adventure Club,49,303170,"brostep, canadian electronic, complextro, edm, electro house, filthstep, pop dance",2024-05-21
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,72,14173685,"album rock, classic rock, hard rock, rock",2024-05-21
2fSaE6BXtQy0x7R7v9IOmZ,Aesop Rock,53,448014,"abstract hip hop, alternative hip hop, conscious hip hop",2024-05-21
4D75GcNG95ebPtNvoNVXhz,AFROJACK,70,3884742,"big room, dance pop, dutch house, edm, electro house, pop dance, progressive electro house",2024-05-21
