artistName,artistID,songURI,artistPop,artistGenre
Taylor Swift,06HL4z0CvFAxyc27GXpf02,spotify:track:0V3wPSX9ygBnCm8psDIegu,100.0,pop
Taylor Swift,06HL4z0CvFAxyc27GXpf02,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,100.0,pop
Taylor Swift,06HL4z0CvFAxyc27GXpf02,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,100.0,pop
Bad Bunny,4q3ewBCX7sLwd24euuV69X,spotify:track:38UYeBLfvpnDSG9GznZdnL,99.0,"reggaeton, trap latino, urbano latino"
Bad Bunny,4q3ewBCX7sLwd24euuV69X,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,99.0,"reggaeton, trap latino, urbano latino"
Bad Bunny,4q3ewBCX7sLwd24euuV69X,spotify:track:2mnXxnrX5vCGolNkaFvVeM,99.0,"reggaeton, trap latino, urbano latino"
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,spotify:track:4W4fNrZYkobj539TOWsLO2,98.0,"canadian contemporary r&b, canadian pop, pop"
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,98.0,"canadian contemporary r&b, canadian pop, pop"
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,98.0,"canadian contemporary r&b, canadian pop, pop"
Drake,3TVXtAsR1Inumwj472S9r4,spotify:track:3F5CgOj3wFlRv51JsHbxhe,97.0,"canadian hip hop, canadian pop, hip hop, rap, toronto rap"
Drake,3TVXtAsR1Inumwj472S9r4,spotify:track:1bDbXMyjaUIooNwFE9wn0N,97.0,"canadian hip hop, canadian pop, hip hop, rap, toronto rap"
Drake,3TVXtAsR1Inumwj472S9r4,spotify:track:59nOXPmaKlBfGMDeOVGrIK,97.0,"canadian hip hop, canadian pop, hip hop, rap, toronto rap"
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,spotify:track:1rXq0uoV4KTgRN64jXzIxo,94.0,contemporary country
MØ,4oUHIQIBe0LHzYfvXNW4QM,spotify:track:7K3BhSpAxZBznislvUMVtn,94.0,contemporary country
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,spotify:track:7K3BhSpAxZBznislvUMVtn,94.0,contemporary country
MØ,4oUHIQIBe0LHzYfvXNW4QM,spotify:track:5W4kiM2cUYBJXKRudNyxjW,94.0,contemporary country
MØ,4oUHIQIBe0LHzYfvXNW4QM,spotify:track:1rXq0uoV4KTgRN64jXzIxo,94.0,contemporary country
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,spotify:track:5W4kiM2cUYBJXKRudNyxjW,94.0,contemporary country
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,spotify:track:04CqLjewJiSAqM210vZAmT,93.0,pop
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,spotify:track:3AAY8YicetRPlDAkibHLiS,93.0,pop
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,93.0,pop
21 Savage,1URnnhqYAYcrqrcwql10ft,spotify:track:1bDbXMyjaUIooNwFE9wn0N,93.0,"atl hip hop, rap"
Eminem,7dGJo4pcD2V6oG8kP0tJRR,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,93.0,"detroit hip hop, hip hop, rap"
21 Savage,1URnnhqYAYcrqrcwql10ft,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,93.0,"atl hip hop, rap"
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,spotify:track:6sCvvleqKbeyOkQDieBYgp,93.0,"barbadian pop, pop, urban contemporary"
21 Savage,1URnnhqYAYcrqrcwql10ft,spotify:track:3F5CgOj3wFlRv51JsHbxhe,93.0,"atl hip hop, rap"
Future,1RyvyyTE3xzB2ZywiAwp0i,spotify:track:59nOXPmaKlBfGMDeOVGrIK,92.0,"atl hip hop, rap, southern hip hop, trap"
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,spotify:track:2DB4DdfCFMw1iaR6JaR03a,92.0,"pop, uk pop"
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,spotify:track:3rmo8F54jFF8OgYsqTxm5d,92.0,"pop, uk pop"
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,spotify:track:50nfwKoDiSYg8zOCREWAm5,92.0,"pop, uk pop"
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,spotify:track:567e29TDzLwZwfDuEpGTwo,92.0,"canadian pop, pop"
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,spotify:track:6I3mqTwhRpn34SLVafSH7G,92.0,"canadian pop, pop"
Future,1RyvyyTE3xzB2ZywiAwp0i,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,92.0,"atl hip hop, rap, southern hip hop, trap"
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,spotify:track:52NGJPcLUzQq5w7uv4e5gf,92.0,"canadian pop, pop"
BTS,3Nrfpe0tUJi4K4DXYWgMUX,spotify:track:1RDvyOk4WtPCtoqciJwVn8,92.0,"k-pop, k-pop boy group"
Future,1RyvyyTE3xzB2ZywiAwp0i,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,92.0,"atl hip hop, rap, southern hip hop, trap"
BTS,3Nrfpe0tUJi4K4DXYWgMUX,spotify:track:46HNZY1i7O6jwTA7Slo2PI,92.0,"k-pop, k-pop boy group"
BTS,3Nrfpe0tUJi4K4DXYWgMUX,spotify:track:5Odq8ohlgIbQKMZivbWkEo,92.0,"k-pop, k-pop boy group"
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,spotify:track:1wTopxO5eQBpxrBXPSbsUn,91.0,"art pop, pop"
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,spotify:track:0Oqc0kKFsQ6MhFOLBNZIGX,91.0,"art pop, pop"
Harry Styles,6KImCVD70vtIoJWnq6nGn3,spotify:track:4Dvkj6JhhA12EX05fT7y2e,91.0,pop
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,91.0,rap
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,91.0,rap
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,91.0,rap
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,spotify:track:4WuOWVnAqvEQxgSRrspBgt,91.0,"rap, slap house"
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,91.0,"rap, slap house"
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,spotify:track:3QFInJAm9eyaho5vBzxInN,91.0,"conscious hip hop, hip hop, rap, west coast rap"
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,spotify:track:6huNf4dutXRjJyGn7f5BPS,91.0,"conscious hip hop, hip hop, rap, west coast rap"
Harry Styles,6KImCVD70vtIoJWnq6nGn3,spotify:track:1qEmFfgcLObUfQm0j1W2CK,91.0,pop
Harry Styles,6KImCVD70vtIoJWnq6nGn3,spotify:track:6UelLqGlWMcVH1E5c4H7lY,91.0,pop
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,spotify:track:0fX4oNGBWO3dSGUZcVdVV2,91.0,"conscious hip hop, hip hop, rap, west coast rap"
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,spotify:track:1wtOxkiel43cVs0Yux5Q4h,91.0,"art pop, pop"
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,spotify:track:2KLwPaRDOB87XOYAT2fgxh,91.0,"rap, slap house"
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,spotify:track:1zsPaEkglFvxjAhrM8yhpr,90.0,"puerto rican pop, reggaeton, trap latino, urbano latino"
Lil Baby,5f7VJjfbwm532GiveGC0ZK,spotify:track:65OVbaJR5O1RmwOQx0875b,90.0,"atl hip hop, atl trap, rap, trap"
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,spotify:track:1WCEAGGRD066z2Q89ObXTq,90.0,"big room, dance pop, edm, pop, pop dance"
Lil Baby,5f7VJjfbwm532GiveGC0ZK,spotify:track:1T4k0sw0HldDg004Kw4Oct,90.0,"atl hip hop, atl trap, rap, trap"
Lil Baby,5f7VJjfbwm532GiveGC0ZK,spotify:track:7Ddk8FhoYKdsVoX9AOCPMm,90.0,"atl hip hop, atl trap, rap, trap"
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,spotify:track:46HNZY1i7O6jwTA7Slo2PI,90.0,"permanent wave, pop"
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,spotify:track:02VBYrHfVwfEWXk5DXyf0T,90.0,"dance pop, pop"
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,spotify:track:4RVwu0g32PAqgUiJoXsdF8,90.0,"art pop, electropop, pop"
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,90.0,"art pop, electropop, pop"
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,spotify:track:54ipXppHLA8U4yqpOFTUhr,90.0,"modern rock, rock"
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,spotify:track:3CIyK1V4JEJkg02E4EJnDl,90.0,"modern rock, rock"
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,spotify:track:7sA2SKTo1QbTSSYn5YvJC4,90.0,"modern rock, rock"
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,spotify:track:0YJW8OXw8G1xDfkzaID3vv,90.0,"big room, dance pop, edm, pop, pop dance"
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,spotify:track:2caVKAWz7oM5Hw3LDWWVnQ,90.0,"puerto rican pop, reggaeton, trap latino, urbano latino"
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,spotify:track:6G12ZafqofSq7YtrMqUm76,90.0,"puerto rican pop, reggaeton, trap latino, urbano latino"
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,spotify:track:3GYlZ7tbxLOxe6ewMNVTkw,90.0,"art pop, electropop, pop"
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,spotify:track:4uUG5RXrOk84mYEfFvj3cK,90.0,"big room, dance pop, edm, pop, pop dance"
Sam Smith,2wY79sveU1sp5g7SokKOiI,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,89.0,"pop, uk pop"
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,spotify:track:4uVEdikP5eLUy8Dq6gjiPV,89.0,"latin hip hop, reggaeton, urbano latino"
Post Malone,246dkjvS1zLTtiykXe5h60,spotify:track:0O6u0VJ46W86TxN9wgyqDj,89.0,"dfw rap, melodic rap, rap"
